                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4162,                0.85062,                 1.0324,                0.95851,                0.99279,                0.98473,                0.77191,                0.85414,                0.48794,                0.84293,             0.00055465,             0.00055465,             0.00055465
                      1,                0.78537,                 0.4481,                0.84159,                0.96985,                0.99041,                0.99222,                0.86202,                0.61732,                0.38287,                0.79947,             0.00056071,             0.00056071,             0.00056071
